Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lat,lon,DEM,Slope,Solar.radiation,Next_Tmax
32.2,23.9,54.51245,88.5247,29.18887,23.80135,6.02039,88.078209,0.179405619,0.268662387,0.223249274,0.164154806,0,0,0,0,37.5102,127.086,21.9668,0.1332,5852.904,32.6
32.7,24.4,54.70559,75.91982,28.85798,24.73371,6.019616,90.838489,0.346090207,0.350199357,0.225512718,0.148332835,0,0,0,0,37.5372,126.891,15.5876,0.1554,5851.388,31.8
31.5,25,52.07278,73.69395,29.34425,24.85681,6.222672,49.00752,0.342294439,0.346846606,0.213114563,0.150828614,0,0,0,0,37.5237,126.909,17.2956,0.2223,5850.359,31.3
32.5,24.2,50.27461,75.52502,29.96375,24.97286,6.265457,23.342176,0.283318426,0.289609929,0.20345857,0.142098386,0,0,0,0,37.5237,126.97,19.5844,0.2713,5855.094,32
28.3,21.2,72.79858,97.64279,25.27672,21.14256,15.608045,64.914946,0.615612061,0.843198535,0.81045519,0.62203974,0.804222465,9.933111086,0.237004317,0.848081543,37.6046,126.991,212.335,2.785,5987.719,24.8
30.5,22.9,65.73069,92.94939,27.43752,22.71302,11.391814,70.693033,0.617177998,0.901149031,0.763317317,0.59106463,0.464744457,11.83342134,0.253719132,1.513873922,37.6046,127.032,44.7624,0.5141,5863.956,27.3
30.3,24.5,62.74358,90.56828,28.37812,23.09749,11.701792,78.721464,0.606684894,0.890558138,0.765460797,0.601785302,0.543196224,11.49145773,0.271108305,2.75996574,37.5776,127.058,33.3068,0.2661,5858.202,28.1
31,24.5,74.53422,97.63004,26.445,22.18528,12.586018,67.378635,0.583464041,0.842180119,0.760137955,0.587809867,0.444243838,9.090755264,0.261195129,3.192251516,37.645,127.022,45.716,2.5348,5851.575,27.9
30.8,22.6,72.63654,94.3652,27.01157,23.10447,12.424396,105.303513,0.598722628,0.880431728,0.723178472,0.618996355,0.3401134,9.16058205,0.258917118,3.395695708,37.5507,127.135,35.038,0.5055,5854.147,28.2
31,24.1,65.52217,91.15923,27.68082,22.96796,12.501068,100.761024,0.574738029,0.872533172,0.755782352,0.630178305,1.195706706,6.931812486,0.247168981,2.898612668,37.5102,127.042,54.6384,0.1457,5868.375,28.9
30.5,23.6,73.59444,93.41607,26.43267,22.53119,13.285839,122.133313,0.609439574,0.772702514,0.735475224,0.562952298,0.562011714,5.486298877,0.200886746,0.604448318,37.5776,126.838,12.37,0.0985,5843.854,27.6
31,23.1,66.70444,92.33698,26.90572,22.55986,12.79457,82.400535,0.61058641,0.754831716,0.744900927,0.572974157,2.244908027,5.686821675,0.173180796,2.262280668,37.4697,126.91,52.518,1.5629,5858.526,28.2
30.5,21.7,72.05589,93.54279,26.21291,22.07257,13.749261,75.838578,0.583443453,0.782615826,0.693510368,0.556918599,1.487056633,6.840253832,0.208492875,2.030875172,37.4967,126.826,50.9312,0.4125,5871.545,27.1
30,21.1,68.92159,95.18623,25.39379,21.40505,13.526587,79.979037,0.564918566,0.759817389,0.698832018,0.619763799,1.836138883,5.555646589,0.202441586,2.291009799,37.4562,126.955,208.507,5.1782,5887.616,27.5
30.6,24.8,64.81936,90.86805,28.29516,23.26525,11.861453,97.13037,0.592851182,0.901467755,0.747132619,0.61098487,0.755655935,8.225176022,0.258947051,3.231347817,37.5372,127.085,28.7,0.6233,5858.687,28.9
32,22.2,65.32542,91.72947,27.05758,22.25982,12.753207,78.853351,0.591133791,0.884395195,0.753662088,0.608417702,1.283185939,9.217300966,0.269399904,2.649243699,37.5507,126.988,132.118,0.5931,5918.901,26.8
30.9,24.8,62.57318,91.00751,28.25579,23.09451,11.327799,80.925812,0.61063285,0.901055456,0.772177123,0.610183516,0.414610125,11.41392718,0.27150146,3.012929015,37.5776,127.083,59.8324,2.6865,5855.55,28.7
30.8,22.9,64.40576,90.97425,27.54245,22.9648,12.71481,87.939944,0.608516007,0.786750561,0.744027155,0.580589002,2.208438436,6.472261953,0.201511736,2.362143854,37.4967,126.927,30.968,0.618,5852.553,27.9
30.1,23.1,64.7415,90.71554,27.65093,22.85129,12.399074,84.724946,0.604812905,0.841032642,0.773757719,0.575775379,1.631393143,8.088325985,0.239776726,2.388285343,37.5507,126.937,30.0464,0.8552,5861.349,27.1
29.9,21.4,71.29189,93.21128,26.48379,22.36288,12.669353,90.766698,0.573985394,0.780090889,0.67324281,0.605721757,1.636845416,5.644781488,0.227548543,2.677204739,37.4697,126.995,82.2912,2.2579,5855.753,27.5
30.6,21.6,70.13705,93.94486,26.42538,22.67139,10.640904,68.669051,0.651011611,0.875306425,0.775181164,0.595345108,0.228985962,11.94178899,0.271362552,1.724580045,37.6181,127.099,53.4712,0.697,5866.985,27.8
31.5,24.2,70.68472,92.01984,26.77985,22.57419,11.731552,88.623085,0.546151646,0.83427918,0.709808024,0.576097224,1.397540348,5.649839563,0.247749299,2.877794122,37.4832,127.024,56.4448,1.2313,5859.464,29.2
30.8,21.9,65.73112,91.57623,27.20912,22.37903,12.583679,76.921654,0.61712407,0.845477949,0.773260607,0.59379469,1.397049006,8.44128814,0.210697087,1.39347655,37.5776,126.938,75.0924,1.7678,5888.267,27.1
30.5,23.2,76.48797,99.19758,25.69747,21.45832,18.04369,55.810112,0.601877564,0.82754615,0.822289606,0.614560506,0.63164312,10.07633339,0.254713086,1.371297081,37.6181,127.004,146.554,4.7296,5926.909,27.3
30.5,24.3,63.79328,91.54259,28.36324,23.16883,11.896937,82.017329,0.601481146,0.858259993,0.767106242,0.614047465,0.886908944,10.05140224,0.283085242,2.948905339,37.5507,127.04,26.298,0.5721,5853.975,28.2
31.8,24.1,68.24117,91.33728,27.56189,23.35068,12.243418,120.383907,0.580715297,0.888694003,0.717738139,0.620365637,0.738487681,6.487334203,0.259174459,3.079744935,37.5102,127.086,21.9668,0.1332,5847.513,29.1
31.5,23.5,68.43415,91.64897,27.18709,22.74138,12.791183,111.361345,0.627006141,0.802875083,0.736755004,0.578573087,1.553839898,7.303503861,0.226573097,2.258268905,37.5372,126.891,15.5876,0.1554,5846.013,28.1
30.9,24,65.91048,91.15529,27.47113,22.86292,12.713552,96.693949,0.617364807,0.798039065,0.739396955,0.593297188,1.836599623,7.284498485,0.238097434,2.331715455,37.5237,126.909,17.2956,0.2223,5844.962,28.2
31.5,24.2,63.29582,90.15125,28.0741,23.1204,11.788976,88.430416,0.585976774,0.861968973,0.770709607,0.604577423,1.763855906,7.809377192,0.253648335,2.594354517,37.5237,126.97,19.5844,0.2713,5849.743,28.8
24.4,20.6,55.64728,98.37004,27.7855,19.56177,11.168633,74.62592,0.312105477,0.273683179,0.030996951,0.010616645,0.000503279,0,0,0,37.6046,126.991,212.335,2.785,5981.979,28.1
27,22.4,47.84642,91.92165,30.19111,21.08444,8.841148,54.551954,0.253213621,0.269998594,0.025253997,0,0,0,0,0,37.6046,127.032,44.7624,0.5141,5858.019,30.8
28,22.6,42.79628,88.94005,31.09986,21.45615,8.855948,14.496327,0.253761849,0.24829105,0.036963465,0.000503523,0,0,0,0,37.5776,127.058,33.3068,0.2661,5852.268,31.2
27.7,22.9,55.03902,96.98163,29.50527,19.54713,6.981138,81.486029,0.170103597,0.152252597,0.006085445,0.001857132,0.000330542,0,0,0,37.645,127.022,45.716,2.5348,5845.616,31.3
27.8,22.5,51.78121,92.57404,29.66287,21.14236,8.793535,136.297076,0.233981988,0.242542065,0.035643109,0,0,0,0,0,37.5507,127.135,35.038,0.5055,5848.156,31.3
28.8,23.1,47.95434,90.09222,30.08519,21.11955,8.833617,53.809111,0.24709233,0.210112923,0.034651563,0.0000236,0,0,0,0,37.5102,127.042,54.6384,0.1457,5862.383,31.3
27.6,23,64.12701,94.24827,27.29092,20.90756,8.478867,126.361152,0.233494308,0.282861475,0.047854887,0.056114352,0,0,0,0,37.5776,126.838,12.37,0.0985,5837.891,30
27.8,23.2,54.79209,91.93755,28.76473,20.72751,9.05397,47.794772,0.276731941,0.219181762,0.03087337,0.004854821,0,0,0,0,37.4697,126.91,52.518,1.5629,5852.468,30
26.9,22.1,58.81103,94.62539,27.90681,20.35463,9.052359,97.253798,0.270978947,0.219614745,0.028430326,0.019700302,0,0,0,0,37.4967,126.826,50.9312,0.4125,5865.608,30.1
27.5,22.5,55.51915,95.68593,27.97673,19.70235,10.068202,65.562053,0.232742538,0.155971929,0.023141971,0.001166544,0,0,0,0,37.4562,126.955,208.507,5.1782,5880.978,29.4
28.6,23.2,46.00737,89.98445,30.71716,21.30671,8.925255,62.782259,0.229048888,0.203180954,0.022949654,0.000096,0,0,0,0,37.5372,127.085,28.7,0.6233,5852.797,31.6
26.2,21.6,46.69629,91.76263,29.51588,20.51497,9.660558,26.661738,0.269246032,0.235780612,0.031009815,0.007261765,0,0,0,0,37.5507,126.988,132.118,0.5931,5912.886,31.5
28.4,23.2,42.16407,89.3679,31.03747,21.22522,8.789325,34.078283,0.231055957,0.218827133,0.025204032,0.000305145,0,0,0,0,37.5776,127.083,59.8324,2.6865,5849.48,31.6
27.6,22.4,49.83685,90.46141,29.64353,21.05772,9.264664,16.918152,0.257610059,0.230869513,0.036194119,0.007452765,0,0,0,0,37.4967,126.927,30.968,0.618,5846.572,30.2
26.7,22.4,48.56834,91.1661,29.79644,21.13922,8.900254,30.245463,0.263250947,0.267968794,0.032450383,0.017754473,0,0,0,0,37.5507,126.937,30.0464,0.8552,5855.467,30.4
27.5,22.3,53.75553,93.80367,29.2132,20.60156,8.279847,96.130598,0.200427209,0.14581383,0.018900557,0.000353615,0,0,0,0,37.4697,126.995,82.2912,2.2579,5849.513,30.1
27.5,22.1,49.50217,92.25378,29.82187,20.88547,8.388738,128.879558,0.190831312,0.237976861,0.027724032,0.000150217,0,0,0,0,37.6181,127.099,53.4712,0.697,5861.01,31.4
29,23.1,51.92756,92.03936,29.5748,20.83604,8.024379,102.431878,0.205343745,0.191113008,0.027053332,0.0000324,0,0,0,0,37.4832,127.024,56.4448,1.2313,5853.382,32.6
26.6,22.3,50.45304,92.43758,29.18688,20.75672,8.830007,40.756292,0.262943281,0.280440269,0.030774824,0.026670909,0,0,0,0,37.5776,126.938,75.0924,1.7678,5882.38,30.5
27.1,22.6,58.53262,99.54116,28.07135,19.82633,11.892142,77.425009,0.268173231,0.226555675,0.014252344,0.000159154,0.011383684,0,0,0,37.6181,127.004,146.554,4.7296,5921.159,30.6
28.1,22.8,44.01414,89.89665,30.92311,21.39851,8.776955,16.323546,0.247418978,0.232316099,0.031840403,0.000450861,0,0,0,0,37.5507,127.04,26.298,0.5721,5848.049,30.5
29,23.1,48.91342,90.62117,30.20945,21.34159,8.337132,91.603781,0.233476733,0.231486392,0.034951501,0.000000969,0,0,0,0,37.5102,127.086,21.9668,0.1332,5841.538,32.5
27.9,23,55.61594,92.99118,28.56832,20.99231,8.612081,84.30526,0.244931122,0.250666685,0.028990959,0.024658815,0,0,0,0,37.5372,126.891,15.5876,0.1554,5840.055,31.2
27.9,23.1,51.36541,91.92328,29.30016,21.10308,8.844452,45.624354,0.2460043,0.244635419,0.030541436,0.015969715,0,0,0,0,37.5237,126.909,17.2956,0.2223,5838.98,30.5
28.5,23,46.02955,89.79635,30.45181,21.29006,8.811855,22.261239,0.25023839,0.228729847,0.032090254,0.007428591,0,0,0,0,37.5237,126.97,19.5844,0.2713,5843.813,31
27.9,17.9,76.01797,95.99053,28.12565,21.98258,10.546499,39.809905,0.187603576,0.390578825,0.438748341,0.789554494,0,0,0,0.051695139,37.6046,126.991,212.335,2.785,5975.676,25.2
30.4,20.4,67.43306,88.4931,30.35374,23.82355,8.924416,34.192262,0.170972205,0.392751783,0.392969019,0.792734106,0,0,0,0.035844034,37.6046,127.032,44.7624,0.5141,5851.5,28.4
30.7,20.8,63.89918,84.93093,30.92361,23.98984,8.840452,10.256755,0.163219205,0.4584139,0.38348435,0.79850517,0,0,0,0.039626737,37.5776,127.058,33.3068,0.2661,5845.751,28.2
30.7,20.9,71.98515,95.42838,30.21455,22.63055,7.632252,44.417797,0.095141848,0.401594268,0.332948851,0.727566587,0,0,0,0.021433333,37.645,127.022,45.716,2.5348,5839.095,28.4
30.5,20.9,70.62746,90.73003,29.87171,23.1065,9.116771,83.304561,0.127926847,0.412812276,0.404555491,0.756040305,0,0,0,0.041594583,37.5507,127.135,35.038,0.5055,5841.578,28.7
30.5,20.9,66.27982,87.20005,30.17264,23.44505,7.851582,37.163316,0.129971636,0.49457903,0.397041432,0.7788579,0,0,0,0.047192981,37.5102,127.042,54.6384,0.1457,5855.803,28.3
29.1,20.1,80.0216,93.48442,27.91349,23.18143,8.706109,78.748717,0.242623404,0.507973235,0.491209782,0.725803945,0,0,0,0.047777034,37.5776,126.838,12.37,0.0985,5831.343,27.1
28.9,20.4,71.91466,90.33012,29.25306,23.2634,8.893551,27.45419,0.211608881,0.500528853,0.463983483,0.78669449,0,0,0,0.047643459,37.4697,126.91,52.518,1.5629,5845.817,27.1
29.4,19.5,77.23519,92.521,28.17552,22.88558,9.186914,51.93361,0.232755262,0.499764412,0.468217352,0.764385443,0,0,0,0.044546987,37.4967,126.826,50.9312,0.4125,5859.089,27.4
28.7,19.3,72.97542,92.02542,28.39231,22.16036,9.38076,41.223285,0.133501325,0.377682941,0.394177141,0.775712392,0,0,0,0.054443861,37.4562,126.955,208.507,5.1782,5873.69,26.2
31.6,21.3,65.22405,86.97292,30.54471,23.85109,8.26984,41.560734,0.135106627,0.476881314,0.449292039,0.777209968,0,0,0,0.046048003,37.5372,127.085,28.7,0.6233,5846.329,28.7
30.8,18.9,67.72484,88.56264,29.42794,23.25837,8.904846,17.715939,0.189968331,0.465651554,0.433445886,0.806367884,0,0,0,0.049185673,37.5507,126.988,132.118,0.5931,5906.281,28
31.1,21.1,63.46358,84.98676,30.71394,23.7138,8.542201,22.295848,0.158866991,0.454980229,0.419772586,0.785713222,0,0,0,0.03859885,37.5776,127.083,59.8324,2.6865,5842.815,28.7
29.5,20.3,68.47524,88.12436,29.828,23.72031,8.846964,11.879242,0.211737638,0.537123351,0.468962811,0.797812749,0,0,0,0.044105088,37.4967,126.927,30.968,0.618,5840.004,27.5
29.6,19.8,69.28218,88.06167,29.78991,23.76805,8.405486,21.178354,0.214447006,0.521319569,0.467606858,0.783826951,0,0,0,0.048567201,37.5507,126.937,30.0464,0.8552,5849.007,27.1
29.4,19,70.9109,88.89791,29.61775,22.83709,7.065554,60.372726,0.11804155,0.400057152,0.366883517,0.711083911,0,0,0,0.041980342,37.4697,126.995,82.2912,2.2579,5842.663,26.7
30.8,20.6,67.85626,88.08848,30.13536,23.14193,8.127477,75.17423,0.151983586,0.36901684,0.39732066,0.772820129,0,0,0,0.02197989,37.6181,127.099,53.4712,0.697,5854.449,28.6
31.6,20.9,69.46207,89.44161,29.86667,22.86208,6.840222,62.348477,0.125129768,0.428582788,0.390446365,0.74380378,0,0,0,0.041116888,37.4832,127.024,56.4448,1.2313,5846.703,29.4
30.1,19.6,70.73946,89.25989,29.32738,23.4956,8.501654,25.684955,0.201977777,0.434033198,0.461204921,0.770070089,0,0,0,0.049072608,37.5776,126.938,75.0924,1.7678,5875.916,27.4
30.1,20.3,78.77919,98.75568,28.60946,22.03928,12.390467,38.964976,0.161518868,0.392112414,0.393325412,0.783168673,0,0,0,0.052353814,37.6181,127.004,146.554,4.7296,5914.817,27.7
30.3,20.7,64.92818,86.07581,30.74156,23.94322,8.38439,11.591349,0.150277711,0.458659686,0.370617789,0.797141119,0,0,0,0.048547894,37.5507,127.04,26.298,0.5721,5841.541,27.6
31.3,21.1,68.96385,88.98296,30.1414,23.73456,7.929734,65.375101,0.136354089,0.466893082,0.404417198,0.748660024,0,0,0,0.043879742,37.5102,127.086,21.9668,0.1332,5834.976,28.5
31,20.5,75.45088,90.75209,28.95544,23.53167,8.186458,57.086708,0.209705218,0.52583022,0.459000376,0.75865399,0,0,0,0.049158409,37.5372,126.891,15.5876,0.1554,5833.514,27.6
30.1,20.7,71.47318,89.1011,29.49057,23.70099,8.429956,32.252792,0.207496098,0.5320862,0.463719615,0.785593274,0,0,0,0.048255791,37.5237,126.909,17.2956,0.2223,5832.412,27.7
30.8,20.8,66.42178,86.6648,30.36316,24.06777,8.111393,16.093959,0.201253845,0.53074936,0.446360454,0.807184704,0,0,0,0.046988686,37.5237,126.97,19.5844,0.2713,5837.301,27.9
24.9,21.5,55.88857,97.40248,30.45825,22.07708,7.393145,63.599636,0.814980212,0.430494432,0.160573524,0.001116008,0.096997272,0.021871122,0,0,37.6046,126.991,212.335,2.785,5968.809,28
28,23.3,49.89585,95.74265,32.35338,23.8265,6.715578,49.894416,0.871372786,0.471478888,0.180969968,0.038712514,0.09699408,0.023716055,0,0,37.6046,127.032,44.7624,0.5141,5844.398,30
27.6,23.5,45.40434,93.05579,33.17205,24.15359,7.101395,22.325403,0.823592295,0.470336958,0.191683026,0.061246324,0.094417541,0.016411958,0,0,37.5776,127.058,33.3068,0.2661,5838.654,30.8
28.2,23.8,55.13099,98.72331,32.11502,23.49937,6.554396,69.937572,0.84786885,0.419372777,0.176809696,0.000053,0.11918667,0.020793876,0,0,37.645,127.022,45.716,2.5348,5832.032,30.6
28.1,23.5,49.99241,95.07391,31.6496,23.60449,6.261134,105.169068,0.816708379,0.48095673,0.205967646,0.020116665,0.143001143,0.017670405,0,0,37.5507,127.135,35.038,0.5055,5834.413,32.6
28,24.3,46.40944,90.99077,32.78245,24.13162,6.413982,52.169573,0.800685381,0.446323646,0.143895535,0.049132151,0.173768983,0.009971718,0,0,37.5102,127.042,54.6384,0.1457,5848.637,31.1
26.9,23.9,58.78944,96.01344,30.61689,22.3425,6.220627,105.491836,0.818520084,0.484383686,0.107944932,0.020976978,0.077905968,0.008237174,0,0,37.5776,126.838,12.37,0.0985,5824.212,30.7
27.1,23.9,47.51969,92.53103,32.29256,22.19937,6.149758,47.225159,0.775390897,0.462138066,0.082516805,0.018655422,0.095488482,0.000586369,0,0,37.4697,126.91,52.518,1.5629,5838.573,30.5
26.9,23.5,55.48061,95.71418,30.75493,22.01901,6.709136,83.585128,0.769631396,0.521247613,0.114478487,0.022834952,0.050257292,0.007015801,0,0,37.4967,126.826,50.9312,0.4125,5851.988,29.6
26.1,23.5,46.4045,95.19613,31.21229,21.42852,6.862087,58.285455,0.710748408,0.497041954,0.086678573,0.00639245,0.146050716,0.002093735,0,0,37.4562,126.955,208.507,5.1782,5865.756,30
28.4,24.6,46.94271,92.67619,33.04118,24.15277,6.579925,56.802111,0.811752035,0.459538277,0.161408391,0.047500014,0.153679229,0.015421151,0,0,37.5372,127.085,28.7,0.6233,5839.284,31.4
27.2,22.6,48.61613,91.19484,31.6726,23.7422,6.547911,29.325212,0.801124005,0.512097658,0.169873629,0.003400432,0.071557328,0.010907222,0,0,37.5507,126.988,132.118,0.5931,5899.087,30.4
28.4,23.8,45.28247,93.7787,33.04784,23.90426,6.779479,37.789419,0.804662017,0.495213666,0.156637025,0.026809575,0.117041496,0.020353202,0,0,37.5776,127.083,59.8324,2.6865,5835.558,30.8
27.2,23.7,46.24255,91.37432,32.76257,23.30193,6.269478,20.845607,0.790838917,0.456447342,0.105342194,0.010850682,0.068605573,0.00379619,0,0,37.4967,126.927,30.968,0.618,5832.85,30.2
26.6,23.4,50.3211,92.7644,32.15601,24.13556,6.413055,32.329055,0.835449004,0.469645831,0.142873389,0.006367713,0.063858458,0.013284691,0,0,37.5507,126.937,30.0464,0.8552,5841.972,29.9
26.5,23.2,48.16638,95.1956,31.93809,23.15794,6.260358,83.260513,0.74413663,0.480354968,0.098589047,0.002140119,0.154640401,0.004979331,0,0,37.4697,126.995,82.2912,2.2579,5835.202,29.3
28.3,23.4,50.64322,95.40318,32.03247,23.3535,5.891369,103.570272,0.851428284,0.489270366,0.146491187,0.010229008,0.102451525,0.029425755,0,0,37.6181,127.099,53.4712,0.697,5847.303,30.1
29,24,48.98082,93.91251,32.17979,23.44118,6.099951,89.740338,0.770869522,0.457673632,0.095453807,0.017226685,0.158215344,0.007142429,0,0,37.4832,127.024,56.4448,1.2313,5839.429,32.2
26.7,23.4,51.31729,94.76531,31.71052,23.60569,6.441977,42.276098,0.830599161,0.444934847,0.164254578,0.010829354,0.086954673,0.020253578,0,0,37.5776,126.938,75.0924,1.7678,5868.875,30.2
27.6,23.7,58.70333,99.12417,30.88575,23.06358,7.658593,65.4925,0.819901408,0.373447006,0.187301554,0.0000218,0.111371478,0.023901654,0,0,37.6181,127.004,146.554,4.7296,5907.943,29.9
27.4,23.9,45.64146,92.22025,33.10469,24.35749,7.068857,24.4328,0.800449434,0.446227013,0.178452265,0.052016235,0.118729455,0.014026512,0,0,37.5507,127.04,26.298,0.5721,5834.452,30.4
28,24.3,47.55164,91.68676,32.59253,24.13605,5.97301,75.985578,0.810062066,0.452358667,0.143637834,0.051967053,0.138606493,0.014369447,0,0,37.5102,127.086,21.9668,0.1332,5827.83,30.5
27.6,24.1,52.54399,94.85739,31.27889,23.43534,6.172075,69.972261,0.819323162,0.488522108,0.128763713,0.007074204,0.060610363,0.012019669,0,0,37.5372,126.891,15.5876,0.1554,5826.388,31.3
27.5,24.1,49.27684,93.22553,32.09395,23.64271,6.261268,41.831887,0.831721038,0.476365241,0.117289516,0.007265245,0.053292859,0.008829519,0,0,37.5237,126.909,17.2956,0.2223,5825.258,31.5
27.5,24.3,45.61946,89.80238,32.98468,24.39728,6.213521,25.74236,0.796958495,0.490319262,0.171805929,0.002596008,0.082038971,0.007606606,0,0,37.5237,126.97,19.5844,0.2713,5830.208,31.4
27.8,19.9,58.72741,99.13754,29.85578,21.1213,7.795094,59.433776,0.321885126,0.258274192,0.056480129,0.010880484,0.000996994,0.000254467,0,0,37.6046,126.991,212.335,2.785,5961.377,28.2
29.6,21.7,51.94497,92.54166,31.80153,22.93482,6.674801,44.746396,0.202052441,0.207735397,0.146475122,0.001690351,0,0,0,0,37.6046,127.032,44.7624,0.5141,5836.715,30.8
29.9,22.2,47.32841,87.69051,32.68306,23.21481,7.283388,11.135021,0.254810913,0.263827291,0.120325625,0.001011496,0,0,0,0,37.5776,127.058,33.3068,0.2661,5830.975,31.1
30.2,22.8,58.35252,97.10829,31.23564,22.3991,5.557495,64.170859,0.185653246,0.2162224,0.145999179,0.002826682,0.000199773,0,0,0,37.645,127.022,45.716,2.5348,5824.26,31.6
32.4,22.4,53.61063,94.22969,31.40038,22.80955,6.545164,124.453904,0.216884269,0.182308998,0.097311394,0.004053625,0,0,0,0,37.5507,127.135,35.038,0.5055,5826.661,33.6
30.7,22.4,50.27103,91.81853,31.80013,22.17029,7.097016,48.37482,0.249852689,0.229441933,0.081674585,0.010977786,0,0,0,0,37.5102,127.042,54.6384,0.1457,5840.883,31
30.2,21.8,66.59473,97.10128,29.0811,21.76047,5.607289,111.863732,0.33863808,0.287041572,0.081082367,0.085582894,0,0,0,0,37.5776,126.838,12.37,0.0985,5816.496,30.7
29.6,22,56.61554,95.07365,30.46628,21.26569,6.356951,40.391347,0.314224919,0.265050069,0.092264487,0.047693011,0,0,0,0,37.4697,126.91,52.518,1.5629,5830.736,30.3
